guid;stock;title;summary;published;p_date;sentiment_summary;sentiment_title
a7ed74f2-4f82-33c9-b645-cfe580ab63da;AAPL;Zuckerberg, Pichai Said to Be Open to Testifying to Congress;(Bloomberg) -- Facebook Inc. Chief Executive Officer Mark Zuckerberg and Alphabet Inc. CEO Sundar Pichai are willing to testify before a congressional panel investigating competition issues in the technology industry, according to two people familiar with the matter.Apple Inc. hasn’t guaranteed it would make Tim Cook available to the House antitrust panel, said the people, who asked not to be named describing the talks. Amazon.com Inc. has already said it would send Jeff Bezos to testify “at a hearing with the other CEOs this summer.” That would mark Bezos’ first appearance before Congress.The commitments to send Zuckerberg and Pichai, which the companies have relayed to the panel, were conditioned on appearances by the other CEOs, the people said.Spokespeople for the companies either declined to comment or didn’t respond to requests. A spokesman for Representative David Cicilline, the Rhode Island Democrat leading the probe, declined to comment.The Washington Post reported earlier on the willingness of Zuckerberg and Pichai, who is also CEO of Alphabet’s Google unit, to testify.Apple’s position -- that it will send an appropriate executive, without promising Cook -- mirrors Amazon’s earlier reluctance to send its chief and could provoke a clash between the company and the lawmakers taking part in the probe. In Amazon’s case, Cicilline repeatedly threatened to subpoena Bezos, although the company ultimately backed down and agreed to send him voluntarily.Cicilline may want to hear from the CEOs soon: He has said he wants to include their testimony in a final report that would propose changes to antitrust law. He has said the investigation and report are close to being finished.William Kovacic, a professor of competition law at George Washington University Law School, said Cicilline wants a live hearing with testimony from all four CEOs to build public support for stepped-up legislative oversight of tech companies and to pressure the antitrust agencies to pursue aggressive lawsuits or investigations. The goal is “to goad the enforcement agencies,” Kovacic said in a recent interview.Antitrust scrutiny of giant technology companies is accelerating. Facebook and Google both face competition probes by federal enforcers and nearly all 50 states. Amazon is under investigation in California, Bloomberg has reported, and both the e-commerce giant and Apple are facing scrutiny in the EU.Last September, Cicilline’s subcommittee sent extensive document requests to the four companies seeking detailed information about acquisitions, business practices, executive communications, previous probes and lawsuits.Unlike Bezos, the other CEOs have been questioned at Congressional hearings before. Zuckerberg testified after the Cambridge Analytica scandal, in which Facebook allowed the harvesting of personal data of millions of users without their permission in 2018, and about the company’s digital currency, Libra, the following year. Pichai also testified in 2018 on allegations that the company is politically biased in its treatment of content. Tim Cook testified in 2013 about the company’s payment of taxes.(Updates with potential timing of hearing and other details from seventh paragraph)For more articles like this, please visit us at bloomberg.comSubscribe now to stay ahead with the most trusted business news source.©2020 Bloomberg L.P.;Tue, 16 Jun 2020 21:57:28 +0000;AAPL_2020-06-16;-0.2172;0.0
478738f2-d5be-3dca-aa2e-00a5748705f9;AAPL;Citi raises Apple’s price target to ‘street-high’ of $400;Citi senior analyst Jim Suva raised his price target on shares of Apple to a ‘street-high’ of $400 from $310, on the belief that Apple shares could trade higher for five reasons, including the upcoming 5G launch and the company’s wearables business. Suva joins The Final Round to discuss.;Tue, 16 Jun 2020 20:52:04 +0000;AAPL_2020-06-16;0.5267;0.0
d56883b4-128b-3f2d-9896-554b67dfe375;AAPL;Coronavirus update: Global case tally tops 8 million and states reopen businesses even as infections and hospitalizations rise;The number of confirmed cases of the coronavirus illness COVID-19 globally climbed above 8 million on Tuesday, and the number of infections continued to rise in many parts of the U.S. even as officials continued their push to reopen and end lockdowns.;Tue, 16 Jun 2020 20:21:00 +0000;AAPL_2020-06-16;-0.2732;0.5106
2a8a783a-8f26-32ff-aed7-c73dc19f661f;AAPL;Investing According to YouTube;Looking into the advice from financial influencers Continue reading...;Tue, 16 Jun 2020 20:18:33 +0000;AAPL_2020-06-16;0.0;0.0
00de0cd7-6671-31f2-8fc7-465ebc54ae7c;AAPL;Why Warren Buffett needs ‘to adapt’ to this market to reverse his ‘chronic underperformance’;Edward Jones analyst James Shanahan was one of many who shared their thoughts with the Financial Times on the underperformance of Warren Buffett’s Berkshire Hathaway during this historically turbulent year for markets.;Tue, 16 Jun 2020 20:17:00 +0000;AAPL_2020-06-16;0.34;0.0
51aba707-7737-3697-9208-b34b23716473;AAPL;Ultra-Popular Tech ETFs You Should Not Ignore;These ETFs have a lot of exposure to big tech;Tue, 16 Jun 2020 20:03:08 +0000;AAPL_2020-06-16;0.0;0.2755
460359f9-4b0b-37c2-8867-6082f95b0c03;AAPL;Apple facing two EU antitrust probes over apps;Yahoo Finance’s Dan Howley joins Melody Hahm to break down the latest outlook for Apple as the EU opens two competition investigations into the tech giant's App Store and its Apple Pay service.;Tue, 16 Jun 2020 20:00:57 +0000;AAPL_2020-06-16;-0.1027;0.0
531b0df2-e3e4-369c-8ba4-5090b452fb87;AAPL;Netflix, PayPal, Others Could Benefit from the EU's Apple Probes;Though Apple may not see a major financial hit from the probes, they could have big implications for some iOS developers.;Tue, 16 Jun 2020 19:53:00 +0000;AAPL_2020-06-16;0.0;0.4588
aa25419a-abc4-3a25-a82b-b462d08751ec;AAPL;Berkshire Hathaway Is Not an Index Fund, So Don't Expect It to Act Like One;"The conglomerate has underperformed the S&P; 500, but was never designed to replicate it Continue reading...";Tue, 16 Jun 2020 19:52:23 +0000;AAPL_2020-06-16;0.0;0.3612
5460a1a3-1dce-3280-adc4-7df3381f02c3;AAPL;One Analyst Thinks Apple Stock Is Worth $400 A Share: Is He Right?;Apple's (NASDAQ: AAPL) market capitalization will grow by roughly $200 billion as its stock price climbs to $400 within the next year.  On Tuesday, Suva reiterated his buy rating and boosted his target price for Apple's stock from $310 to $400.  Citi analyst Jim Suva says Apple stock still has plenty of upside.;Tue, 16 Jun 2020 19:21:00 +0000;AAPL_2020-06-16;0.3612;0.4767
